website,review_local_id,reviews_total,reviews_older,reviews_recent,early_prefixed_name,early_prefixed_style,v3_numeric_name_UNSAFE_JOIN,v3_numeric_source_UNSAFE_JOIN,v3_numeric_style_UNSAFE_JOIN,text_top_style,text_top_style_mentions,text_top_style_share,text_505_mentions,text_501_mentions,mapping_status
levis,81,235,66,169,,,Women's 311 Mid Rise Shaping Skinny Jeans,2,311,505,8,0.034,8,4,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,88,117,9,108,,,Men's 541™ Athletic Taper Fit Eco Ease Jeans,2,541,517,26,0.2222,0,5,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,96,734,483,251,,,517™ Bootcut Fit Jeans,2,517,502,164,0.2234,5,65,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,105,2743,2502,241,,,312 Shaping Stretch Mid Rise Slim Leg Jeans,2,312,511,558,0.2034,7,37,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,184,9,2,7,,,,,,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,237,2578,2036,542,,,,,,311,308,0.1195,0,5,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,239,386,236,150,,,,,,501,40,0.1036,0,40,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,241,743,438,305,,,,,,501,20,0.0269,0,20,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,243,1207,833,374,,,,,,315,121,0.1002,2,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,245,483,464,19,,,,,,711,65,0.1346,0,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,260,869,541,328,,,,,,725,83,0.0955,0,5,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,268,2111,1583,528,,,,,,505,47,0.0223,47,7,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,276,367,0,367,,,,,,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,299,256,41,215,,,,,,721,1,0.0039,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,310,211,60,151,,,,,,726,13,0.0616,0,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,315,1271,955,316,,,,,,312,181,0.1424,2,9,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,333,449,296,153,,,,,,311,25,0.0557,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,337,1297,1130,167,,,,,,711,229,0.1766,0,9,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,345,218,205,13,,,,,,501,21,0.0963,0,21,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,356,43,20,23,,,,,,311,5,0.1163,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,362,810,426,384,,,,,,725,57,0.0704,1,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,378,496,407,89,,,,,,721,31,0.0625,1,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,380,124,69,55,,,,,,724,13,0.1048,2,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,393,149,93,56,,,,,,314,20,0.1342,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,397,1125,926,199,,,,,,505,1,0.0009,1,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,1,192,167,25,,,527™ Slim Bootcut Men's Jeans,1,527,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,2,244,173,71,,,559™ Relaxed Straight Fit Men's Jeans (big & Tall),1,559,511,1,0.0041,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,3,90,15,75,,,559™ Relaxed Straight Fit Men's Jeans (big & Tall),1,559,505,2,0.0222,2,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,7,88,0,88,,,511™ Slim Fit Men's Jeans,1,511,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,10,4,0,4,,,Classic Straight Fit Women's Jeans,1,,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,37,1798,1412,386,,,514™ Straight Fit Men's Jeans,1,514,505,541,0.3009,541,58,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,38,260,156,104,,,510™ Skinny Fit Men's Jeans,1,510,501,73,0.2808,1,73,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,40,348,318,30,,,501® Original Shrink-to-fit™ Men's Jeans,1,501,501,163,0.4684,3,163,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,41,5568,5143,425,,,505™ Regular Fit Men's Jeans,1,505,501,2830,0.5083,60,2830,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,46,1095,808,287,,,505™ Regular Fit Men's Jeans,1,505,511,285,0.2603,3,27,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,53,817,673,144,,,315 Shaping Bootcut Women's Jeans,1,315,550,187,0.2289,7,4,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,55,1250,1106,144,,,501® Original Fit Men's Jeans (big & Tall),1,501,541,276,0.2208,20,30,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,57,99,52,47,,,311 Shaping Skinny Capri Women's Jeans,1,311,541,28,0.2828,1,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,58,62,38,24,,,312 Shaping Slim Women's Jeans,1,312,541,7,0.1129,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,61,1447,1287,160,,,Levi’s® Xx Chino Slim Taper Fit Men's Pants,1,,511,218,0.1507,4,33,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,63,2041,1930,111,,,Wedgie Straight Fit Women's Jeans,1,,514,416,0.2038,31,40,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,67,883,748,135,,,511™ Slim Fit Men's Jeans,1,511,502,179,0.2027,43,42,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,68,105,100,5,,,501® Original Fit High Rise Women's Shorts,1,501,502,22,0.2095,1,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,70,583,458,125,,,541™ Athletic Taper Men's Jeans,1,541,514,106,0.1818,11,4,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,72,891,801,90,,,725 High Rise Bootcut Women's Jeans,1,725,517,305,0.3423,14,19,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,73,15,9,6,,,Levi's® Xx Chino Standard Taper Fit Men's Pants,1,,502,5,0.3333,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,75,47,43,4,,,512™ Slim Taper Fit Men's Jeans,1,512,512,8,0.1702,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,76,319,197,122,,,Vintage Classic Bootcut Women's Jeans,1,,505,91,0.2853,91,9,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,78,332,283,49,,,512™ Slim Taper Fit Men's Jeans,1,512,541,48,0.1446,0,5,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,79,228,187,41,527™ Slim Bootcut Fit Jeans,527,Trendy Plus Size 711 Skinny Jeans,2,711,559,33,0.1447,2,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,83,94,86,8,Levi’s® Men's 512™ Flex Slim Taper Fit Jeans,512,Plus Size 726 High-Rise Flare-Leg Jeans,2,726,502,16,0.1702,1,4,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,84,119,53,66,Levi’s® Men's 527™ Flex Slim Bootcut Fit Jeans,527,Men's 502™ Taper Jeans,2,502,559,21,0.1765,0,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,85,87,65,22,Men's 511™ Slim Fit Jeans,511,Men's 541™ Athletic Taper Fit Stretch Jeans,2,541,550,1,0.0115,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,86,68,21,47,Men's 550™ Relaxed Fit Jeans,550,Women's 724 Straight-Leg Jeans,2,724,511,5,0.0735,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,88,81,49,32,Women's '94 Baggy Cotton High Rise Cargo Pants,,Men's 541™ Athletic Taper Fit Eco Ease Jeans,2,541,501,24,0.2963,0,24,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,89,53,34,19,Women's Classic Straight-Leg Jeans in Short Length,,Levi’s® Men's 514™ Flex Straight-Fit Jeans,2,514,550,10,0.1887,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,100,26,20,6,Trendy Plus Size 711 Skinny Jeans,711,Women's 711 Skinny Stretch Jeans in Short Length,2,711,527,6,0.2308,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,101,511,425,86,Women's 311 Shaping Skinny Jeans in Long Length,311,Men's 501® Original Fit Button Fly Non-Stretch Jeans,2,501,527,119,0.2329,1,12,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,102,117,112,5,Women's 311 Mid Rise Shaping Skinny Jeans,311,315 Shaping Mid Rise Lightweight Bootcut Jeans,2,315,510,24,0.2051,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,103,22,14,8,Women's 721 High-Rise Skinny Jeans in Short Length,721,Men's Big & Tall 501® Original Shrink to Fit Jeans,2,501,510,2,0.0909,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,105,403,341,62,Men's 502™ Taper Jeans,502,312 Shaping Stretch Mid Rise Slim Leg Jeans,2,312,512,95,0.2357,3,6,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,125,170,106,64,311 Shaping Skinny Mid Rise Capri Pants,311,Levi’s® Men's 527™ Flex Slim Bootcut Fit Jeans,2,527,311,25,0.1471,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,126,173,137,36,312 Shaping Stretch Mid Rise Slim Leg Jeans,312,Men's 511™ Slim Fit Jeans,2,511,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,147,375,299,76,,,,,,311,48,0.128,0,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,149,61,61,0,,,,,,311,6,0.0984,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,150,821,684,137,,,,,,311,101,0.123,0,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,151,1267,991,276,,,,,,314,157,0.1239,9,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,154,45,44,1,,,,,,505,3,0.0667,3,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,155,547,417,130,,,,,,505,10,0.0183,10,6,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,156,878,780,98,,,,,,711,128,0.1458,2,7,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,157,229,201,28,,,,,,721,11,0.048,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,165,1457,1301,156,,,,,,721,136,0.0933,1,8,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,167,574,331,243,,,,,,725,55,0.0958,0,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,168,1045,925,120,,,,,,724,131,0.1254,3,5,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,171,673,535,138,,,,,,501,6,0.0089,2,6,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,173,394,270,124,,,,,,315,50,0.1269,1,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,175,161,106,55,,,,,,312,21,0.1304,0,4,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,178,170,145,25,,,,,,501,46,0.2706,0,46,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,183,389,349,40,,,,,,721,5,0.0129,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,188,218,0,218,,,,,,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,191,233,195,38,,,,,,724,15,0.0644,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,193,148,128,20,,,,,,501,3,0.0203,0,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,194,125,14,111,,,,,,721,1,0.008,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,195,151,138,13,,,,,,711,14,0.0927,0,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,200,121,98,23,,,,,,501,25,0.2066,0,25,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
macys,201,152,130,22,,,,,,726,22,0.1447,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
